colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Florida,Alvaro Obregon,1,-0.22264037723036081,-0.21538388902607186,-0.15341972294107753,Estable
Florida,Alvaro Obregon,3,-0.20876154260910038,-0.18973964428647133,-0.15534685983372806,Estable
Florida,Alvaro Obregon,5,-0.2092781348153204,-0.18695990665196438,-0.15703438615719628,Estable
General Pedro Maria Anaya,Benito Juarez,1,-0.12610151807040626,-0.14685857368376926,-0.13377382275035302,Estable
General Pedro Maria Anaya,Benito Juarez,3,-0.1327722998271443,-0.14532090908867748,-0.13573270717633784,Estable
General Pedro Maria Anaya,Benito Juarez,5,-0.1333204313873438,-0.14884305922941357,-0.12556182600545765,Estable
Granada,Miguel Hidalgo,1,-0.05032261210138136,-0.08698883566668032,-0.022549998646232625,Estable
Granada,Miguel Hidalgo,3,-0.04150997485596367,-0.06643721471139548,-0.02909138334563277,Estable
Granada,Miguel Hidalgo,5,-0.04150997485596367,-0.058287043773588544,-0.032194516083579934,Estable
Guadalupe Chimalistac,Alvaro Obregon,1,-0.2054497596307941,-0.20745978902415346,-0.20641175991161165,Estable
Guadalupe Chimalistac,Alvaro Obregon,3,-0.19638271423002343,-0.20889413255065514,-0.1824390112274349,Estable
Guadalupe Chimalistac,Alvaro Obregon,5,-0.19673233466905252,-0.2105284979597963,-0.1785770452729831,Estable
Guadalupe Inn,Alvaro Obregon,1,-0.2471460629429236,-0.24904508607361983,-0.23974835869028666,Estable
Guadalupe Inn,Alvaro Obregon,3,-0.23286514452844995,-0.24847118678463243,-0.21743929563215028,Estable
Guadalupe Inn,Alvaro Obregon,5,-0.23286514452844995,-0.24925381862106327,-0.21506576117741036,Estable
Hipodromo,Cuauhtemoc,1,0.8885209488213033,0.8138193636639404,1.0401639488606527,Estable
Hipodromo,Cuauhtemoc,3,0.8459833056141127,0.8167764570136677,1.0000493172387175,Estable
Hipodromo,Cuauhtemoc,5,0.8458163338469217,0.8132736423094671,0.9989118432778652,Estable
Hipodromo Condesa,Cuauhtemoc,1,0.06027248259551815,0.012595911687357752,0.18801650494351554,Estable
Hipodromo Condesa,Cuauhtemoc,3,0.012904489645984007,0.013922771609408125,0.1507828653800269,Estable
Hipodromo Condesa,Cuauhtemoc,5,0.01276979297622994,0.015383581173803527,0.15038103879356415,Estable
Hogar y Seguridad,Azcapotzalco,1,-0.27448632420082925,-0.27494330414185447,-0.26652133335143513,Estable
Hogar y Seguridad,Azcapotzalco,3,-0.26674287050380824,-0.27645625264933954,-0.24265295333961115,Estable
Hogar y Seguridad,Azcapotzalco,5,-0.26725946271002826,-0.2772388844857704,-0.23435833290477492,Estable
Ignacio Allende,Azcapotzalco,1,-0.2607712438998409,-0.26233655046700677,-0.25341669260391664,Estable
Ignacio Allende,Azcapotzalco,3,-0.25344155321884176,-0.26290383318252125,-0.22622940706486044,Estable
Ignacio Allende,Azcapotzalco,5,-0.25293798757713465,-0.2641197912665222,-0.21766104200677863,Estable
Independencia,Benito Juarez,1,-0.19393478166281014,-0.19663319757114292,-0.192824367931571,Estable
Independencia,Benito Juarez,3,-0.19117305586281505,-0.2121051909969081,-0.1739812607628373,Estable
Independencia,Benito Juarez,5,-0.19150410789883895,-0.21358764571241667,-0.16499044699466056,Estable
Insurgentes Mixcoac,Benito Juarez,1,-0.06491901436087044,-0.09685986843278244,0.005733766575140078,Estable
Insurgentes Mixcoac,Benito Juarez,3,-0.05745591185252626,-0.08200449944386459,0.0008156985807367821,Estable
Insurgentes Mixcoac,Benito Juarez,5,-0.05766812966812848,-0.07308059898033753,-0.0002861487516848083,Estable
