evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_ALL,LGBM_TEMPORAL,1,2026-05,2026-06,556.9925809702505,822.1565500793914,1.4760637361582802,False,2109,65,2026-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2026-05,2026-06,556.9925809702505,833.1056671624261,1.495721299754481,False,2109,43,2026-05
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2026-05,2026-06,550.4522990509599,805.2712150246275,1.4629264268911282,False,2109,65,2026-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2026-05,2026-06,550.4522990509599,842.941172034841,1.5313609798490513,False,2109,43,2026-05
EVALUATION_ALL,LGBM_TEMPORAL,1,2026-06,2026-07,554.8784816654154,495.42813601305653,0.8928588013110109,False,2154,43,2026-06
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2026-06,2026-07,554.8784816654154,603.3980527985616,1.0874417962425202,False,2154,26,2026-06
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2026-06,2026-07,547.3187443220929,574.3350652508828,1.0493612199637932,False,2154,43,2026-06
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2026-06,2026-07,547.3187443220929,731.0236018818554,1.3356451052801026,False,2154,26,2026-06
EVALUATION_ALL,LGBM_TEMPORAL,1,2026-07,2026-08,553.3886315181279,443.75382859558994,0.8018846129495406,False,2216,62,2026-07
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2026-07,2026-08,553.3886315181279,413.6785824070572,0.7475371896820506,False,2216,42,2026-07
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2026-07,2026-08,553.6683548033802,475.6086389829604,0.8590135861238799,False,2216,62,2026-07
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2026-07,2026-08,553.6683548033802,453.08748888534916,0.8183373403131383,False,2216,42,2026-07
EVALUATION_ALL,LGBM_TEMPORAL,3,2024-11,2025-02,1187.2704092568601,5286.6673133677305,4.452791269915315,True,943,55,2024-11
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2024-11,2025-02,1187.2704092568601,,,False,943,0,2024-11
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2024-11,2025-02,1099.6564984107856,5204.6214401130865,4.732952015138147,True,943,55,2024-11
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2024-11,2025-02,1099.6564984107856,,,False,943,0,2024-11
EVALUATION_ALL,LGBM_TEMPORAL,3,2024-12,2025-03,1133.0239783340528,5200.334960885465,4.589783676539487,True,1030,74,2024-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2024-12,2025-03,1133.0239783340528,,,False,1030,0,2024-12
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2024-12,2025-03,1068.685668393944,4107.897401358951,3.843878067095664,True,1030,74,2024-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2024-12,2025-03,1068.685668393944,,,False,1030,0,2024-12
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-01,2025-04,1730.4567680126374,4664.777388095516,2.695691377169065,False,1059,53,2024-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-01,2025-04,1730.4567680126374,,,False,1059,0,2024-12
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-01,2025-04,1603.0413708397555,5026.5525230625735,3.135634934006355,True,1059,53,2024-12
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-01,2025-04,1603.0413708397555,,,False,1059,0,2024-12
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-02,2025-05,1743.9520800364608,1431.5688363819756,0.8208762458381573,False,1096,50,2025-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-02,2025-05,1743.9520800364608,1533.2388655733741,0.8791748827991414,False,1096,30,2025-02
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-02,2025-05,1594.4563350865983,1606.5480755647245,1.0075836134311382,False,1096,50,2025-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-02,2025-05,1594.4563350865983,1839.4528440727042,1.1536552012086299,False,1096,30,2025-02
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-03,2025-06,1746.114661508504,1873.4345563887448,1.072916113521575,False,1163,59,2025-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2025-03,2025-06,1746.114661508504,1260.1805861635291,0.7217055179382283,False,1163,37,2025-03
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2025-03,2025-06,1630.573929220025,1716.0932485945852,1.0524473731868556,False,1163,59,2025-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2025-03,2025-06,1630.573929220025,1435.267188874709,0.8802220881584071,False,1163,37,2025-03
EVALUATION_ALL,LGBM_TEMPORAL,3,2025-04,2025-07,1770.16410745924,1401.2706767387676,0.7916049539328,False,1228,57,2025-04
