colonia,alcaldia,n_periodos_con_datos,viajes_total_acumulado,km_ciclovia,establecimientos_denue_relacionados,aperturas_denue_en_ventana_panel,accidentes_ciclistas_en_ventana_panel,victimas_ciclistas_en_ventana_panel,poblacion_colonia_2020,poblacion_alcaldia_2020,indice_uso_ecobici_promedio,indice_demanda_compuesto_promedio,tendencia_pendiente_theilsen,tendencia_categoria
Ignacio Allende,Azcapotzalco,15,20870,0.025278033052702,0,0,11,10,1876.584185040144,432205,-0.5995710012111458,-0.28968175072544555,-0.0007934090527991026,Estable
San Salvador Xochimanca,Azcapotzalco,16,64735,1.098436692815504,0,0,11,10,2295.818552063357,432205,-0.539195222442796,-0.289968107794492,-0.0023925585456792296,Estable
Santo Tomas,Miguel Hidalgo,20,55879,0.5103318015536391,1,0,12,11,493.7821043403027,414470,-0.5385405003480696,-0.2944430117838413,-0.001775942537514754,Estable
Hogar y Seguridad,Azcapotzalco,16,47681,,0,0,11,10,,432205,-0.5607392454765459,-0.2982213554728135,-0.0016178839578781037,Estable
Del Recreo,Azcapotzalco,15,24053,1.764152132855893,2,0,11,10,8276.649616790746,432205,-0.5951084050598465,-0.2989141849456667,-0.0006577668660950831,Estable
Obrero Popular,Azcapotzalco,16,30739,1.1920263999701008,0,0,11,10,3440.637112539797,432205,-0.5834567875803507,-0.30570841906926827,-0.0018995193629397689,Estable
Guadalupe Inn,Alvaro Obregon,16,187286,3.2071646311617106,5,0,9,8,3936.8978121303594,759137,-0.3801222243531399,-0.30804131943106117,0.004480199800390784,Estable
Unidad Habitacional Cuitláhuac,Azcapotzalco,15,42627,,0,0,11,10,,432205,-0.5695685687674407,-0.31014884470103893,-0.00044324528193080096,Estable
Un Hogar para Nosotros,Miguel Hidalgo,20,66269,1.423447140441596,0,0,12,11,931.0023952670608,414470,-0.5270094887395539,-0.3202945741527823,-0.0014864878018983553,Estable
Barrio la Concepcion,Coyoacan,19,54997,,0,0,5,1,,614447,-0.5427752966473476,-0.3258813025262642,0.0009815122581818825,Estable
Barrio San Lucas,Coyoacan,19,26311,,0,0,5,1,,614447,-0.5745620618976401,-0.34177468515141046,0.0011851351484084005,Estable
Agricola,Alvaro Obregon,16,26193,,0,0,9,8,,759137,-0.5893817924813808,-0.3426645570493176,0.0027285213830419205,Estable
San Angel,Alvaro Obregon,15,47443,2.577240782557102,5,1,9,8,3739.3219445070185,759137,-0.5632791640173022,-0.350888770607151,0.002167094628750657,Estable
Molino del Rey,Miguel Hidalgo,25,106481,7.955732757130039,1,0,12,11,512.6837024456141,414470,-0.4728463662516815,-0.5603253731981522,-0.0012119513073607486,Estable
