colonia,alcaldia,periodo_prueba,valor_real,prediccion_p50,prediccion_p10,prediccion_p90,error_abs,error,dentro_p10_p90,categoria_predicha,categoria_real,categoria_acierto,prediccion_naive,error_abs_naive,error_naive
San Diego Churubusco,Coyoacan,2026-06,-0.2303307741710207,-0.24284444498329624,-0.2628124944943037,-0.2276673967851297,0.012513670812275529,0.012513670812275529,True,Estable,Estable,True,-0.2297529252242935,0.0005778489467272163,-0.0005778489467272163
San Jose Insurgentes,Benito Juarez,2026-06,-0.1184433553557828,-0.10519208792958856,-0.1338085317856149,-0.030606710560562526,0.013251267426194244,-0.013251267426194244,True,Estable,Estable,True,-0.1068664268312646,0.011576928524518207,-0.011576928524518207
San Mateo,Coyoacan,2026-06,-0.2280449887720855,-0.25280268437955317,-0.2652104592729071,-0.23705782174963527,0.024757695607467656,0.024757695607467656,False,Estable,Estable,True,-0.2370459151026301,0.009000926330544584,0.009000926330544584
San Miguel Chapultepec,Miguel Hidalgo,2026-06,0.0602803443891249,0.0804889679521036,0.05746703006309679,0.15720993590330176,0.0202086235629787,-0.0202086235629787,True,Decreciente,Decreciente,True,0.1178253233036955,0.057544978914570596,-0.057544978914570596
San Pedro de los Pinos,Benito Juarez,2026-06,0.0698375483196142,0.09373328157561527,0.04204689735606473,0.14630567808824393,0.02389573325600107,-0.02389573325600107,True,Estable,Estable,True,0.087833972242667,0.0179964239230528,-0.0179964239230528
San Rafael,Cuauhtemoc,2026-06,0.5895022651977699,0.5805758570991955,0.5434623941995348,0.7401037987291362,0.008926408098574479,0.008926408098574479,True,Estable,Creciente,False,0.563350878277896,0.026151386919873953,0.026151386919873953
San Salvador Xochimanca,Azcapotzalco,2026-06,-0.2668476094067848,-0.28111968734867,-0.2991819220245671,-0.26865533387005014,0.014272077941885175,0.014272077941885175,False,Estable,Estable,True,-0.2822959453140921,0.015448335907307265,0.015448335907307265
San Simon Ticumac,Benito Juarez,2026-06,-0.1032859537891715,-0.11848647703298253,-0.16004214204447723,-0.08468920120507398,0.01520052324381102,0.01520052324381102,True,Decreciente,Estable,False,-0.0855331606243445,0.017752793164827002,-0.017752793164827002
Santa Catarina,Coyoacan,2026-06,-0.1274318954308683,-0.14197865865562107,-0.1602295671408428,-0.1109417317122535,0.014546763224752762,0.014546763224752762,True,Estable,Estable,True,-0.1251730021124474,0.0022588933184209126,-0.0022588933184209126
Santa Cruz Atoyac,Benito Juarez,2026-06,-0.0638075709001655,-0.08717099586495794,-0.09514577397664034,-0.027811347951610284,0.023363424964792434,0.023363424964792434,True,Estable,Estable,True,-0.0761778298921461,0.01237025899198059,0.01237025899198059
Santa Maria la Ribera,Cuauhtemoc,2026-06,1.0961226604340546,1.118866902459624,1.0477840236184806,1.3591182346761232,0.02274424202556946,-0.02274424202556946,True,Estable,Decreciente,False,1.1381133143848416,0.04199065395078705,-0.04199065395078705
Santo Tomas,Miguel Hidalgo,2026-06,-0.2890693490331892,-0.2863686977143277,-0.30738624058210356,-0.23647036367880547,0.002700651318861491,-0.002700651318861491,True,Estable,Estable,True,-0.2854523407099431,0.003617008323246129,-0.003617008323246129
Sector Naval,Azcapotzalco,2026-06,-0.256338621181729,-0.26662815468630147,-0.2892438344304164,-0.25596022611338975,0.010289533504572457,0.010289533504572457,True,Estable,Estable,True,-0.2631471486081688,0.006808527426439781,0.006808527426439781
Tabacalera,Cuauhtemoc,2026-06,0.0686745606570636,0.10609041689831847,0.05089740990081533,0.26733034897840474,0.037415856241254875,-0.037415856241254875,True,Creciente,Estable,False,0.070129090289227,0.001454529632163401,-0.001454529632163401
Tacuba,Miguel Hidalgo,2026-06,-0.154033049900474,-0.16468727194098404,-0.19796967674266677,-0.08151264320725242,0.01065422204051003,0.01065422204051003,True,Estable,Estable,True,-0.1632556582361106,0.009222608335636595,0.009222608335636595
Tlacoquemecatl del Valle,Benito Juarez,2026-06,-0.1538774648615535,-0.14152386138372194,-0.16570621380558204,-0.12448937355884628,0.012353603477831543,-0.012353603477831543,True,Estable,Estable,True,-0.1433552556853793,0.010522209176174191,-0.010522209176174191
Tlatilco,Azcapotzalco,2026-06,-0.2095130503674094,-0.22679741591616262,-0.2502425161895153,-0.2185420088783362,0.017284365548753233,0.017284365548753233,False,Estable,Estable,True,-0.2198155961928913,0.010302545825481901,0.010302545825481901
Tlaxpana,Miguel Hidalgo,2026-06,-0.0372809853585146,-0.02848064247024443,-0.09475308099163063,-0.02754487227019935,0.008800342888270172,-0.008800342888270172,True,Estable,Estable,True,-0.0378952507177845,0.0006142653592698943,0.0006142653592698943
Un Hogar para Nosotros,Miguel Hidalgo,2026-06,-0.3037766034708369,-0.3105222980970039,-0.3349189196793968,-0.25134142593347114,0.006745694626166976,0.006745694626166976,True,Estable,Estable,True,-0.3081190501156075,0.00434244664477057,0.00434244664477057
Unidad Habitacional Cuitláhuac,Azcapotzalco,2026-06,-0.2809250998437856,-0.292565024302005,-0.30973835990784315,-0.2842536001959181,0.011639924458219375,0.011639924458219375,False,Estable,Estable,True,-0.2885783675969475,0.007653267753161885,0.007653267753161885
Veronica Anzures,Miguel Hidalgo,2026-06,-0.1091862379603229,-0.13019112477341252,-0.15414863727581507,-0.09410639804795413,0.021004886813089624,0.021004886813089624,True,Estable,Estable,True,-0.1238381258879201,0.01465188792759721,0.01465188792759721
Vertiz Narvarte,Benito Juarez,2026-06,-0.0816201230129775,-0.0853913829233453,-0.1194384860703563,-0.07352710772022111,0.003771259910367808,0.003771259910367808,True,Estable,Estable,True,-0.084636971110495,0.0030168480975174966,0.0030168480975174966
