station_id,zone_id_catalog,zone_id_spatial,inside_catalog_polygon,distance_to_catalog_polygon_m,possible_zone_candidate,candidate_basis,n_covering_polygons,status,assignment_changed
574,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
575,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
576,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
577,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
578,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
579,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
580,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
581,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
582,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
583,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
584,col_6954f4d5482a5e07b5721c81d464cd43,col_6954f4d5482a5e07b5721c81d464cd43,True,0.0,"[""col_6954f4d5482a5e07b5721c81d464cd43""]",covers,1,inside,False
585,col_6954f4d5482a5e07b5721c81d464cd43,col_6954f4d5482a5e07b5721c81d464cd43,True,0.0,"[""col_6954f4d5482a5e07b5721c81d464cd43""]",covers,1,inside,False
586,col_6954f4d5482a5e07b5721c81d464cd43,col_6954f4d5482a5e07b5721c81d464cd43,True,0.0,"[""col_6954f4d5482a5e07b5721c81d464cd43""]",covers,1,inside,False
587,col_6954f4d5482a5e07b5721c81d464cd43,col_6954f4d5482a5e07b5721c81d464cd43,True,0.0,"[""col_6954f4d5482a5e07b5721c81d464cd43""]",covers,1,inside,False
588,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
589,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
590,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
591,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
592,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
593,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
594,col_ee0096c66b1754fb83cf4c4170f93dd6,col_ee0096c66b1754fb83cf4c4170f93dd6,True,0.0,"[""col_ee0096c66b1754fb83cf4c4170f93dd6""]",covers,1,inside,False
595,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
596,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
597,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
598,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
599,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
600,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
601,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
602,col_aeb67b70520e58b895caf170c4cc2b7b,col_aeb67b70520e58b895caf170c4cc2b7b,True,0.0,"[""col_aeb67b70520e58b895caf170c4cc2b7b""]",covers,1,inside,False
603,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
604,col_aeb67b70520e58b895caf170c4cc2b7b,col_aeb67b70520e58b895caf170c4cc2b7b,True,0.0,"[""col_aeb67b70520e58b895caf170c4cc2b7b""]",covers,1,inside,False
605,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
606,col_479170cdfd5b53c484ffa7a376547b3a,col_479170cdfd5b53c484ffa7a376547b3a,True,0.0,"[""col_479170cdfd5b53c484ffa7a376547b3a""]",covers,1,inside,False
607,col_aeb67b70520e58b895caf170c4cc2b7b,col_aeb67b70520e58b895caf170c4cc2b7b,True,0.0,"[""col_aeb67b70520e58b895caf170c4cc2b7b""]",covers,1,inside,False
608,col_eadac3374f095a63b927c12303b7218a,col_eadac3374f095a63b927c12303b7218a,True,0.0,"[""col_eadac3374f095a63b927c12303b7218a""]",covers,1,inside,False
609,col_49f6b5a0ab625bda9ca00f7acd601c17,,,,"[""col_5481a24d7414578eb3d8dcf5c715fb23""]",nearest_available_polygon_not_assignment,0,missing_catalog_polygon,False
610,col_5481a24d7414578eb3d8dcf5c715fb23,col_5481a24d7414578eb3d8dcf5c715fb23,True,0.0,"[""col_5481a24d7414578eb3d8dcf5c715fb23""]",covers,1,inside,False
611,col_5481a24d7414578eb3d8dcf5c715fb23,col_5481a24d7414578eb3d8dcf5c715fb23,True,0.0,"[""col_5481a24d7414578eb3d8dcf5c715fb23""]",covers,1,inside,False
612,col_fff7ee1276da58efb088edf2d4f0141e,,False,163.78391753722155,"[""col_5481a24d7414578eb3d8dcf5c715fb23""]",nearest_available_polygon_not_assignment,0,outside,False
613,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
614,col_99820d9ec1005837855fcf0d7f8dcaf0,col_fff7ee1276da58efb088edf2d4f0141e,,,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,missing_catalog_polygon,False
615,col_fff7ee1276da58efb088edf2d4f0141e,col_fff7ee1276da58efb088edf2d4f0141e,True,0.0,"[""col_fff7ee1276da58efb088edf2d4f0141e""]",covers,1,inside,False
616,col_c4ce45851ad35a61b8fb1e683c4b52a5,,False,17.4369381130225,"[""col_c4ce45851ad35a61b8fb1e683c4b52a5""]",nearest_available_polygon_not_assignment,0,outside,False
617,col_fff7ee1276da58efb088edf2d4f0141e,,False,255.18454398447562,"[""col_c4ce45851ad35a61b8fb1e683c4b52a5""]",nearest_available_polygon_not_assignment,0,outside,False
618,col_c4ce45851ad35a61b8fb1e683c4b52a5,,False,17.35865695121425,"[""col_c4ce45851ad35a61b8fb1e683c4b52a5""]",nearest_available_polygon_not_assignment,0,outside,False
619,col_347bf8c118ae5cde8343a717c911525d,col_347bf8c118ae5cde8343a717c911525d,True,0.0,"[""col_347bf8c118ae5cde8343a717c911525d""]",covers,1,inside,False
620,col_49f6b5a0ab625bda9ca00f7acd601c17,,,,"[""col_347bf8c118ae5cde8343a717c911525d""]",nearest_available_polygon_not_assignment,0,missing_catalog_polygon,False
621,col_49f6b5a0ab625bda9ca00f7acd601c17,,,,"[""col_347bf8c118ae5cde8343a717c911525d""]",nearest_available_polygon_not_assignment,0,missing_catalog_polygon,False
622,col_abad05146e545e0cb59abdc228f8373c,col_abad05146e545e0cb59abdc228f8373c,True,0.0,"[""col_abad05146e545e0cb59abdc228f8373c""]",covers,1,inside,False
623,col_abad05146e545e0cb59abdc228f8373c,col_abad05146e545e0cb59abdc228f8373c,True,0.0,"[""col_abad05146e545e0cb59abdc228f8373c""]",covers,1,inside,False
624,col_abad05146e545e0cb59abdc228f8373c,col_abad05146e545e0cb59abdc228f8373c,True,0.0,"[""col_abad05146e545e0cb59abdc228f8373c""]",covers,1,inside,False
625,col_347bf8c118ae5cde8343a717c911525d,col_347bf8c118ae5cde8343a717c911525d,True,0.0,"[""col_347bf8c118ae5cde8343a717c911525d""]",covers,1,inside,False
626,col_c4ce45851ad35a61b8fb1e683c4b52a5,col_c4ce45851ad35a61b8fb1e683c4b52a5,True,0.0,"[""col_c4ce45851ad35a61b8fb1e683c4b52a5""]",covers,1,inside,False
627,col_c4ce45851ad35a61b8fb1e683c4b52a5,col_c4ce45851ad35a61b8fb1e683c4b52a5,True,0.0,"[""col_c4ce45851ad35a61b8fb1e683c4b52a5""]",covers,1,inside,False
628,col_81ad18034e5855e38b63dfffe608d3d3,col_81ad18034e5855e38b63dfffe608d3d3,True,0.0,"[""col_81ad18034e5855e38b63dfffe608d3d3""]",covers,1,inside,False
629,col_81ad18034e5855e38b63dfffe608d3d3,col_81ad18034e5855e38b63dfffe608d3d3,True,0.0,"[""col_81ad18034e5855e38b63dfffe608d3d3""]",covers,1,inside,False
630,col_81ad18034e5855e38b63dfffe608d3d3,col_81ad18034e5855e38b63dfffe608d3d3,True,0.0,"[""col_81ad18034e5855e38b63dfffe608d3d3""]",covers,1,inside,False
631,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
632,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
633,col_abad05146e545e0cb59abdc228f8373c,col_abad05146e545e0cb59abdc228f8373c,True,0.0,"[""col_abad05146e545e0cb59abdc228f8373c""]",covers,1,inside,False
634,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
635,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
636,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
637,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
638,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
639,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
640,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
641,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
642,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
643,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
644,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
645,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
646,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
647,col_e426afce41e3549e9144c6ee8c8047dc,col_e426afce41e3549e9144c6ee8c8047dc,True,0.0,"[""col_e426afce41e3549e9144c6ee8c8047dc""]",covers,1,inside,False
648,col_3c107741e9aa5999ac5f00ed40d5deea,col_3c107741e9aa5999ac5f00ed40d5deea,True,0.0,"[""col_3c107741e9aa5999ac5f00ed40d5deea""]",covers,1,inside,False
