colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Cuauhtemoc,Cuauhtemoc,5,1.0535326896616362,0.8150854427323078,1.2742340466525124,Estable
Cuauhtemoc Pensil,Miguel Hidalgo,1,-0.2061970804209819,-0.22651174418455847,-0.18609745856132046,Estable
Cuauhtemoc Pensil,Miguel Hidalgo,3,-0.20241206990910096,-0.2633560611998306,-0.14211320433011665,Estable
Cuauhtemoc Pensil,Miguel Hidalgo,5,-0.19862705939722,-0.3002003782151028,-0.09812895009891281,Estable
Del Carmen,Coyoacan,1,0.06446069782853067,0.04202552206200058,0.08403907309569227,Estable
Del Carmen,Coyoacan,3,0.22583217845546272,0.15852665115587242,0.2845673042569475,Estable
Del Carmen,Coyoacan,5,0.38720365908239474,0.2750277802497442,0.48509553541820266,Estable
Del Recreo,Azcapotzalco,1,-0.29616247249046734,-0.33838682309068613,-0.22956456720496907,Estable
Del Recreo,Azcapotzalco,3,-0.31194887727674947,-0.4386219290774057,-0.11215516142025461,Estable
Del Recreo,Azcapotzalco,5,-0.3277352820630316,-0.5388570350641254,0.005254244364459815,Estable
Del Valle Centro,Benito Juarez,1,-0.004626055836904536,-0.02414001300200127,0.025849879100354255,Estable
Del Valle Centro,Benito Juarez,3,-0.08338922750257712,-0.14193109899786732,0.00803857730919924,Estable
Del Valle Centro,Benito Juarez,5,-0.1621523991682497,-0.25972218499373334,-0.00977272448195577,Estable
Del Valle Norte,Benito Juarez,1,0.44352813351261033,0.4144558592368775,0.46575896785923304,Estable
Del Valle Norte,Benito Juarez,3,0.4540906599043428,0.3668738370771442,0.5207831629442108,Estable
Del Valle Norte,Benito Juarez,5,0.46465318629607516,0.31929181491741093,0.5758073580291887,Estable
Del Valle Sur,Benito Juarez,1,0.21897036713340845,0.2010058326353729,0.25047399135340787,Estable
Del Valle Sur,Benito Juarez,3,0.16436530197942104,0.11047169848531435,0.25887617463941925,Estable
Del Valle Sur,Benito Juarez,5,0.1097602368254336,0.019937564335255786,0.2672783579254307,Estable
Del valle Centro,Benito Juarez,1,-0.29975292552738053,-0.33502859898201287,-0.27210633556137637,Estable
Del valle Centro,Benito Juarez,3,-0.38157473541971404,-0.487401755783611,-0.29863496552170155,Estable
Del valle Centro,Benito Juarez,5,-0.46339654531204755,-0.6397749125852092,-0.3251635954820267,Estable
Doctores,Cuauhtemoc,1,1.0822805842533498,0.99773611772657,1.1595446695995304,Estable
Doctores,Cuauhtemoc,3,1.4583511616571085,1.204717762076769,1.69014341769565,Estable
Doctores,Cuauhtemoc,5,1.8344217390608675,1.4116994064269681,2.2207421657917696,Estable
Escandon,Miguel Hidalgo,1,0.48956541043553914,0.4620510265405399,0.5234932365596733,Estable
Escandon,Miguel Hidalgo,3,0.5206210552139969,0.43807790352899934,0.6224045335863995,Estable
Escandon,Miguel Hidalgo,5,0.5516766999924548,0.41410478051745875,0.7213158306131255,Estable
Extremadura Insurgentes,Benito Juarez,1,-0.29936289971299895,-0.3354241563438157,-0.2741872565041786,Estable
Extremadura Insurgentes,Benito Juarez,3,-0.3674975484411574,-0.47568131833360766,-0.2919706188146962,Estable
Extremadura Insurgentes,Benito Juarez,5,-0.43563219716931584,-0.6159384803233996,-0.3097539811252139,Estable
Florida,Alvaro Obregon,1,-0.1888127110288503,-0.23843394622372274,-0.15453563236026216,Estable
Florida,Alvaro Obregon,3,-0.11362005450262776,-0.26248376008724505,-0.010788818496863334,Estable
Florida,Alvaro Obregon,5,-0.03842739797640521,-0.28653357395076745,0.1329579953665355,Estable
General Pedro Maria Anaya,Benito Juarez,1,-0.26418166771333873,-0.29542616609912653,-0.22371072297421066,Estable
General Pedro Maria Anaya,Benito Juarez,3,-0.380347582202088,-0.47408107735945126,-0.2589347479847036,Estable
General Pedro Maria Anaya,Benito Juarez,5,-0.49651349669083716,-0.652735988619776,-0.29415877299519655,Estable
Granada,Miguel Hidalgo,1,-0.07251247715638832,-0.09459042106891055,-0.054292828867350804,Estable
Granada,Miguel Hidalgo,3,-0.06241700527192483,-0.1286508370094915,-0.007758060404812278,Estable
Granada,Miguel Hidalgo,5,-0.05232153338746133,-0.16271125295007247,0.03877670805772625,Estable
Guadalupe Chimalistac,Alvaro Obregon,1,-0.173762737588097,-0.22179467556544152,-0.14075599784411708,Estable
Guadalupe Chimalistac,Alvaro Obregon,3,-0.0875427606898668,-0.2316385746219004,0.011477458542072938,Estable
Guadalupe Chimalistac,Alvaro Obregon,5,-0.0013227837916365837,-0.2414824736783593,0.16371091492826295,Estable
Guadalupe Inn,Alvaro Obregon,1,-0.1859593340405431,-0.24496642866650412,-0.1354908135394226,Estable
Guadalupe Inn,Alvaro Obregon,3,-0.07843453883116436,-0.25545582270904743,0.07297102267219718,Estable
Guadalupe Inn,Alvaro Obregon,5,0.029090256378214385,-0.2659452167515907,0.28143285888381697,Estable
Hipodromo,Cuauhtemoc,1,0.8959024467511912,0.8460517478685026,0.9416554329917904,Estable
Hipodromo,Cuauhtemoc,3,0.7088791786246817,0.5593270819766156,0.8461381373464794,Estable
Hipodromo,Cuauhtemoc,5,0.5218559104981724,0.2726024160847288,0.7506208417011684,Estable
Hipodromo Condesa,Cuauhtemoc,1,0.07778281000526839,0.02374132314969274,0.1183461601812983,Estable
Hipodromo Condesa,Cuauhtemoc,3,0.004348304382488219,-0.15777615618423874,0.12603835491057794,Estable
Hipodromo Condesa,Cuauhtemoc,5,-0.06908620124029197,-0.3392936355181702,0.1337305496398576,Estable
Hogar y Seguridad,Azcapotzalco,1,-0.32040034756316615,-0.35767317831608375,-0.24412783587205777,Estable
Hogar y Seguridad,Azcapotzalco,3,-0.3592295625522407,-0.47104805481099343,-0.13041202747891562,Estable
Hogar y Seguridad,Azcapotzalco,5,-0.39805877754131525,-0.5844229313059031,-0.016696219085773456,Estable
Ignacio Allende,Azcapotzalco,1,-0.28866021370523964,-0.3278815398457512,-0.2216941705843165,Estable
Ignacio Allende,Azcapotzalco,3,-0.3077020309724181,-0.42536600939395275,-0.1068039016096487,Estable
Ignacio Allende,Azcapotzalco,5,-0.32674384823959657,-0.5228504789421543,0.00808636736501911,Estable
