zone_id,neighbor_zone_id,relation_type,distance_centroid_m,weight_raw,weight_normalized
col_d40150e91a0457b18f3ac9b3be178bdc,col_62bb8f5cf8d25a898a34208ad6dee465,queen,1273.2543678660682,1.0,1.0
col_62bb8f5cf8d25a898a34208ad6dee465,col_f1b446f58ae65b7f8a814bab39bf17dc,queen,1575.9250741457774,1.0,0.3333333333333333
col_f1b446f58ae65b7f8a814bab39bf17dc,col_62bb8f5cf8d25a898a34208ad6dee465,queen,1575.9250741457774,1.0,0.25
col_64a29c6aaaf85a42bb0e87a40667ac42,col_6bf10fd8943e5967b7603760fb6cd344,queen,1002.2378717417109,1.0,0.2
col_6bf10fd8943e5967b7603760fb6cd344,col_64a29c6aaaf85a42bb0e87a40667ac42,queen,1002.2378717417109,1.0,0.25
col_64a29c6aaaf85a42bb0e87a40667ac42,col_84c2fef5059c546e9a59e6816fb7e72b,queen,943.3026301453098,1.0,0.2
col_84c2fef5059c546e9a59e6816fb7e72b,col_64a29c6aaaf85a42bb0e87a40667ac42,queen,943.3026301453098,1.0,0.2
col_64a29c6aaaf85a42bb0e87a40667ac42,col_8e89f7e8963258c3b4c0ec85deb35ae9,queen,801.6138358622034,1.0,0.2
col_8e89f7e8963258c3b4c0ec85deb35ae9,col_64a29c6aaaf85a42bb0e87a40667ac42,queen,801.6138358622034,1.0,0.2
col_64a29c6aaaf85a42bb0e87a40667ac42,col_9bbea60acc995fa7b9c482efc14ebb94,queen,632.0341291298935,1.0,0.2
col_9bbea60acc995fa7b9c482efc14ebb94,col_64a29c6aaaf85a42bb0e87a40667ac42,queen,632.0341291298935,1.0,0.2
col_64a29c6aaaf85a42bb0e87a40667ac42,col_a11503ab8f7b52ecba6e146f1cd2bcae,queen,593.8094553354043,1.0,0.2
col_a11503ab8f7b52ecba6e146f1cd2bcae,col_64a29c6aaaf85a42bb0e87a40667ac42,queen,593.8094553354043,1.0,0.25
col_6954f4d5482a5e07b5721c81d464cd43,col_df8f37e24dff550bb52ef711568f9cb7,queen,1051.2222795122402,1.0,0.5
col_df8f37e24dff550bb52ef711568f9cb7,col_6954f4d5482a5e07b5721c81d464cd43,queen,1051.2222795122402,1.0,1.0
col_6bf10fd8943e5967b7603760fb6cd344,col_7d88ca5b0c8d519c962986381a6c0a11,queen,864.834098321596,1.0,0.25
col_7d88ca5b0c8d519c962986381a6c0a11,col_6bf10fd8943e5967b7603760fb6cd344,queen,864.834098321596,1.0,0.3333333333333333
col_6bf10fd8943e5967b7603760fb6cd344,col_9bbea60acc995fa7b9c482efc14ebb94,queen,1036.9345919938423,1.0,0.25
col_9bbea60acc995fa7b9c482efc14ebb94,col_6bf10fd8943e5967b7603760fb6cd344,queen,1036.9345919938423,1.0,0.2
col_6bf10fd8943e5967b7603760fb6cd344,col_f685e6afce2f59ffb8b623a8882cd0ef,queen,1671.6356242316788,1.0,0.25
col_f685e6afce2f59ffb8b623a8882cd0ef,col_6bf10fd8943e5967b7603760fb6cd344,queen,1671.6356242316788,1.0,0.25
col_6e932760ad7e5318b2922fea188ea3f8,col_76d47b3676925748aa9d3dee653c6562,queen,453.01425489110727,1.0,0.5
col_76d47b3676925748aa9d3dee653c6562,col_6e932760ad7e5318b2922fea188ea3f8,queen,453.01425489110727,1.0,1.0
col_6e932760ad7e5318b2922fea188ea3f8,col_b0d667d100335a2cbd38dd885b4a49ae,queen,481.99115109295803,1.0,0.5
col_b0d667d100335a2cbd38dd885b4a49ae,col_6e932760ad7e5318b2922fea188ea3f8,queen,481.99115109295803,1.0,0.25
col_6f85f8cb1357503bae86559c4ab47194,col_76cd2cc2efb657e1a3779dc11ff63e1d,queen,935.7522732108613,1.0,0.25
col_76cd2cc2efb657e1a3779dc11ff63e1d,col_6f85f8cb1357503bae86559c4ab47194,queen,935.7522732108613,1.0,0.2
col_6f85f8cb1357503bae86559c4ab47194,col_926ff32000a751399a54daad7479254d,queen,664.5160189593977,1.0,0.25
col_926ff32000a751399a54daad7479254d,col_6f85f8cb1357503bae86559c4ab47194,queen,664.5160189593977,1.0,0.25
col_6f85f8cb1357503bae86559c4ab47194,col_ffeedd6a32945225b84ecc416148dd76,queen,1264.5281881520755,1.0,0.25
col_ffeedd6a32945225b84ecc416148dd76,col_6f85f8cb1357503bae86559c4ab47194,queen,1264.5281881520755,1.0,0.25
col_76cd2cc2efb657e1a3779dc11ff63e1d,col_b9647cb13b4b5ebebd069fd56e70a36f,queen,754.3476816036695,1.0,0.2
col_b9647cb13b4b5ebebd069fd56e70a36f,col_76cd2cc2efb657e1a3779dc11ff63e1d,queen,754.3476816036695,1.0,0.2
col_76cd2cc2efb657e1a3779dc11ff63e1d,col_ffeedd6a32945225b84ecc416148dd76,queen,1094.4003617974852,1.0,0.2
col_ffeedd6a32945225b84ecc416148dd76,col_76cd2cc2efb657e1a3779dc11ff63e1d,queen,1094.4003617974852,1.0,0.25
col_77126fcee0bf5162978113f718dc8420,col_f1b446f58ae65b7f8a814bab39bf17dc,queen,846.1969583803734,1.0,0.5
col_f1b446f58ae65b7f8a814bab39bf17dc,col_77126fcee0bf5162978113f718dc8420,queen,846.1969583803734,1.0,0.25
col_7d88ca5b0c8d519c962986381a6c0a11,col_9bbea60acc995fa7b9c482efc14ebb94,queen,922.1295011232244,1.0,0.3333333333333333
col_9bbea60acc995fa7b9c482efc14ebb94,col_7d88ca5b0c8d519c962986381a6c0a11,queen,922.1295011232244,1.0,0.2
col_7d88ca5b0c8d519c962986381a6c0a11,col_f685e6afce2f59ffb8b623a8882cd0ef,queen,1026.4364635349343,1.0,0.3333333333333333
col_f685e6afce2f59ffb8b623a8882cd0ef,col_7d88ca5b0c8d519c962986381a6c0a11,queen,1026.4364635349343,1.0,0.25
col_81496637921a5e749f117e8ef4f2ee99,col_9f7b23fc019150a58f8d3fa8ecb0545b,queen,592.4879400976065,1.0,0.25
col_9f7b23fc019150a58f8d3fa8ecb0545b,col_81496637921a5e749f117e8ef4f2ee99,queen,592.4879400976065,1.0,0.16666666666666666
col_81496637921a5e749f117e8ef4f2ee99,col_a069943804255517b1a44551a37b7d8e,queen,921.5676978883896,1.0,0.25
col_a069943804255517b1a44551a37b7d8e,col_81496637921a5e749f117e8ef4f2ee99,queen,921.5676978883896,1.0,0.16666666666666666
col_81ad18034e5855e38b63dfffe608d3d3,col_abad05146e545e0cb59abdc228f8373c,queen,1103.1935968240728,1.0,0.2
col_abad05146e545e0cb59abdc228f8373c,col_81ad18034e5855e38b63dfffe608d3d3,queen,1103.1935968240728,1.0,0.3333333333333333
col_81ad18034e5855e38b63dfffe608d3d3,col_c4ce45851ad35a61b8fb1e683c4b52a5,queen,665.0210787260502,1.0,0.2
col_c4ce45851ad35a61b8fb1e683c4b52a5,col_81ad18034e5855e38b63dfffe608d3d3,queen,665.0210787260502,1.0,0.5
col_81ad18034e5855e38b63dfffe608d3d3,col_e426afce41e3549e9144c6ee8c8047dc,queen,1303.6140676212417,1.0,0.2
col_e426afce41e3549e9144c6ee8c8047dc,col_81ad18034e5855e38b63dfffe608d3d3,queen,1303.6140676212417,1.0,0.3333333333333333
col_81ad18034e5855e38b63dfffe608d3d3,col_fff7ee1276da58efb088edf2d4f0141e,queen,1938.9229932875407,1.0,0.2
col_fff7ee1276da58efb088edf2d4f0141e,col_81ad18034e5855e38b63dfffe608d3d3,queen,1938.9229932875407,1.0,0.2
col_84c2fef5059c546e9a59e6816fb7e72b,col_8e89f7e8963258c3b4c0ec85deb35ae9,queen,536.489682176302,1.0,0.2
col_8e89f7e8963258c3b4c0ec85deb35ae9,col_84c2fef5059c546e9a59e6816fb7e72b,queen,536.489682176302,1.0,0.2
col_84c2fef5059c546e9a59e6816fb7e72b,col_9f7b23fc019150a58f8d3fa8ecb0545b,queen,811.4474912258661,1.0,0.2
col_9f7b23fc019150a58f8d3fa8ecb0545b,col_84c2fef5059c546e9a59e6816fb7e72b,queen,811.4474912258661,1.0,0.16666666666666666
col_84c2fef5059c546e9a59e6816fb7e72b,col_a069943804255517b1a44551a37b7d8e,queen,603.9872858610282,1.0,0.2
col_a069943804255517b1a44551a37b7d8e,col_84c2fef5059c546e9a59e6816fb7e72b,queen,603.9872858610282,1.0,0.16666666666666666
col_84c2fef5059c546e9a59e6816fb7e72b,col_a11503ab8f7b52ecba6e146f1cd2bcae,queen,418.5788085230629,1.0,0.2
col_a11503ab8f7b52ecba6e146f1cd2bcae,col_84c2fef5059c546e9a59e6816fb7e72b,queen,418.5788085230629,1.0,0.25
col_8dd63c1e84435db49a927bcd4b149776,col_bd478b6a570f533f803bd0118bf3f055,queen,1170.7511880480122,1.0,0.3333333333333333
