zone_id,colonia,alcaldia,aliases,geometry_available,n_estaciones_catalogo_actual,station_history_available
col_81ad18034e5855e38b63dfffe608d3d3,Letran Valle,Benito Juarez,"[""Letran Valle""]",True,4,False
col_6bf10fd8943e5967b7603760fb6cd344,Napoles,Benito Juarez,"[""Napoles""]",True,13,False
col_fff7ee1276da58efb088edf2d4f0141e,Narvarte,Benito Juarez,"[""Narvarte""]",True,11,False
col_99820d9ec1005837855fcf0d7f8dcaf0,Narvarte Poniente,Benito Juarez,"[""Narvarte Poniente""]",False,16,False
col_5481a24d7414578eb3d8dcf5c715fb23,Niños Heroes de Chapultepec,Benito Juarez,"[""Niños Heroes de Chapultepec""]",True,2,False
col_a11503ab8f7b52ecba6e146f1cd2bcae,Noche Buena,Benito Juarez,"[""Noche Buena""]",True,2,False
col_f685e6afce2f59ffb8b623a8882cd0ef,Nonoalco,Benito Juarez,"[""Nonoalco""]",True,2,False
col_ee0096c66b1754fb83cf4c4170f93dd6,Piedad Narvarte,Benito Juarez,"[""Piedad Narvarte""]",True,1,False
col_e426afce41e3549e9144c6ee8c8047dc,Portales,Benito Juarez,"[""Portales""]",True,16,False
col_588e4e85b75a566e85b1e464fdd27b30,Portales Norte,Benito Juarez,"[""Portales Norte""]",False,2,False
col_aeb67b70520e58b895caf170c4cc2b7b,Postal,Benito Juarez,"[""Postal""]",True,3,False
col_4a6ce89e87ac5037b13cd12239825b31,Residencial Emperadores,Benito Juarez,"[""Residencial Emperadores""]",True,1,False
col_506a1cf0beec53eb97a74f9abc9cfe66,San Jose Insurgentes,Benito Juarez,"[""San Jose Insurgentes""]",True,7,False
col_7d88ca5b0c8d519c962986381a6c0a11,San Pedro de los Pinos,Benito Juarez,"[""San Pedro de los Pinos""]",True,9,False
col_abad05146e545e0cb59abdc228f8373c,San Simon Ticumac,Benito Juarez,"[""San Simon Ticumac""]",True,4,False
col_6e124db5b88b5695a72b6c82db5754cd,Santa Cruz Atoyac,Benito Juarez,"[""Santa Cruz Atoyac""]",False,7,False
col_8e89f7e8963258c3b4c0ec85deb35ae9,Tlacoquemecatl del Valle,Benito Juarez,"[""Tlacoquemecatl del Valle""]",True,6,False
col_c4ce45851ad35a61b8fb1e683c4b52a5,Vertiz Narvarte,Benito Juarez,"[""Vertiz Narvarte""]",True,4,False
col_8694171d7ed551d78020504424e7148c,Xoco,Benito Juarez,"[""Xoco""]",True,2,False
col_c00d00bb38f656119c21216810bac6c9,Barrio San Lucas,Coyoacan,"[""Barrio San Lucas""]",False,1,False
col_bed54b5fa7b155169b5367f26e64ee77,Barrio la Concepcion,Coyoacan,"[""Barrio la Concepcion""]",False,2,False
col_6573c9286c5a50288130ecf1765ab3b5,Del Carmen,Coyoacan,"[""Del Carmen""]",True,17,False
col_96af67dbdc945131a7e1fb18aab974fa,Parque San Andres,Coyoacan,"[""Parque San Andres""]",True,4,False
col_3c107741e9aa5999ac5f00ed40d5deea,San Diego Churubusco,Coyoacan,"[""San Diego Churubusco""]",True,2,False
col_aaef3bfb4fb259e8ab32bf1eb9404368,San Mateo,Coyoacan,"[""San Mateo""]",True,2,False
col_4b057d99c17f5783822af98b43744780,Santa Catarina,Coyoacan,"[""Santa Catarina""]",True,6,False
col_34ef10debc6452f7a37e4eb02f41010f,Villa Coyoacan,Coyoacan,"[""Villa Coyoacan""]",True,3,False
col_6954f4d5482a5e07b5721c81d464cd43,Algarin,Cuauhtemoc,"[""Algarin""]",True,4,False
col_8dd63c1e84435db49a927bcd4b149776,Atlampa,Cuauhtemoc,"[""Atlampa""]",True,3,False
col_af634a3d6a0956f8930194b36da1dbde,Buenavista,Cuauhtemoc,"[""Buenavista""]",True,7,False
col_e56a7334b36e5ca6841813031c3b8d2b,Centro,Cuauhtemoc,"[""Centro""]",True,31,False
col_5176ae04e5c95d57b5192bbca17b2436,Condesa,Cuauhtemoc,"[""Condesa""]",True,13,False
col_76cd2cc2efb657e1a3779dc11ff63e1d,Cuauhtemoc,Cuauhtemoc,"[""Cuauhtemoc""]",True,18,False
col_eb93b25ca61954fa8e9ee2ca2ca57f16,Doctores,Cuauhtemoc,"[""Doctores""]",True,18,False
col_5322fef4c1c650588d41946f956ec97e,Hipodromo,Cuauhtemoc,"[""Hipodromo""]",True,19,False
col_77126fcee0bf5162978113f718dc8420,Hipodromo Condesa,Cuauhtemoc,"[""Hipodromo Condesa""]",True,5,False
col_b9647cb13b4b5ebebd069fd56e70a36f,Juarez,Cuauhtemoc,"[""Juarez""]",True,24,False
